name_icelandic,name_english,tag_icelandic,tag_english,url,domain,final_url,final_domain,redirect_count,redirect_codes,mx,ns,a,spf,hosting_asn,hosting_org,final_mx,final_ns,final_a,final_spf,final_hosting_asn,final_hosting_org,email_provider,dns_category,hosting_category,final_email_provider,final_dns_category,final_hosting_category,redirect_status
Skatturinn,Iceland Revenue and Customs,,,https://www.skatturinn.is/,skatturinn.is,,,0,,mx00.skattur.is; mx01.skattur.is; mx02.skattur.is,a.hysing.is; b.hysing.is; c.hysing.is,82.221.67.23,v=spf1 ip4:172.29.100.54 include:spf.hysing.is include:_spf.zenter.is include:spf.protection.outlook.com include:spf.rsk.is -all,44515,F5-v4-1,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Umboðsmaður skuldara,The Debtors' Ombudsman,,,https://www.ums.is/,ums.is,https://island.is:443/s/umbodsmadur-skuldara,island.is,3,301; 308; 307,ums-is.mail.protection.outlook.com,ns1.thekking.is; ns2.thekking.is; ns4.thekking.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1  ip4:217.171.208.157 include:_spf.email.stefna.is ip4:217.171.208.145 include:spf.protection.outlook.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Náttúrufræðistofnun,Icelandic Institute of Natural History,,,https://www.ni.is/,ni.is,https://www.natt.is/is,natt.is,3,302; 301; 301,ni-is.mail.protection.outlook.com,pns101.cloudns.net; pns102.cloudns.net; pns103.cloudns.net; pns104.cloudns.net,151.101.131.52; 151.101.195.52; 151.101.3.52; 151.101.67.52; 151.139.128.10,v=spf1 ip4:79.171.97.157 a:m-out1.thekking.is a:smtp.thekking.is include:spf.protection.outlook.com include:_spf.gopro.net include:_spf.vist.is -all,54113,SKYCA-3,natt-is.mail.protection.outlook.com,pns101.cloudns.net; pns102.cloudns.net; pns103.cloudns.net; pns104.cloudns.net,178.19.53.124,v=spf1 include:spf.protection.outlook.com include:_spf.gopro.net include:_spf.vist.is a:m-out1.thekking.is a:smtp.thekking.is ip4:178.19.53.124 -all,44735.0,IS-NOVA-20100503,Microsoft 365,Other,Other,Microsoft 365,Other,Other,Internal .is redirect
Ráðgjafar- og greiningarstöð,The Counseling and Diagnostic Center,,,https://www.rgr.is,rgr.is,,,0,,rgr-is.mail.protection.outlook.com,ns0.c.is; ns1.c.is; ns2.c.is,52.49.138.181,v=spf1 include:spf.protection.outlook.com include:_spf.email.stefna.is ip4:194.144.19.182 -all,16509,AMAZON-DUB,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect
CERT-IS,CERT-IS,,,https://cert.is/,cert.is,,,0,,charon.cert.is; styx.cert.is,anita.ns.cloudflare.com; sean.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 include:_spf.cert.is include:spf.protection.outlook.com mx -all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
Náttúruverndarstofnun,Nature Conservation Agency of Iceland,,,https://www.nattura.is/,nattura.is,,,0,,nattura-is.mail.protection.outlook.com,dell.netvistun.is; dell2.netvistun.is,216.198.79.1,v=spf1 +a +mx +ip4:178.248.20.131 include:spf.protection.outlook.com include:_spf.gopro.net ip4:93.95.74.93 ~all,16509,VERCEL-05,,,,,,,Microsoft 365,Local (.is),Vercel,,,,No redirect
Sjónstöðin,"The National Institute for the Blind, Visually Impaired, and Deafblind",,,https://www.midstod.is/,midstod.is,https://island.is:443/s/sjonstodin,island.is,3,301; 308; 307,midstod-is.mail.protection.outlook.com,ns-1394.awsdns-46.org; ns-1917.awsdns-47.co.uk; ns-330.awsdns-41.com; ns-746.awsdns-29.net,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 include:spf.protection.outlook.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,AWS,AWS,Microsoft 365,AWS,Other,Internal .is redirect
Útlendingastofnun,Directorate of Immigration,,,https://utl.is/,utl.is,https://island.is:443/s/utlendingastofnun,island.is,1,301,mx1.tmd.is; mx2.tmd.is,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is,34.251.144.192; 54.77.239.177; 63.32.127.239,v=spf1 mx include:spf.protection.outlook.com -all,16509,AMAZON-DUB,island-is.mail.protection.outlook.com,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,16509.0,AMAZO-ZL4,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,Other,Internal .is redirect
Félags- og  húsnæðismálaráðuneytið,Ministry of Social Affairs and Housing,,,https://www.stjornarradid.is/raduneyti/felags-og-husnaedismalaraduneytid/,stjornarradid.is,,,0,,funi.stjr.is; neisti.stjr.is,adel.ns.cloudflare.com; wesley.ns.cloudflare.com,8.47.69.2; 8.6.112.2,v=spf1 mx include:spf.protection.outlook.com -all,13335,LPL-141-CLOUD14-8-47-69,,,,,,,Microsoft 365,Cloudflare,Other,,,,No redirect
Hljóðbókasafn Íslands,The Icelandic National Audio Library,,,https://hbs.is/,hbs.is,,,0,,hbs-is.mail.protection.outlook.com,ns1.okhysing.is; ns2.okhysing.is,176.10.36.178,v=spf1 a:smtp.hbs.is ip4:94.142.152.5 a:smtp.okhysing.is ip4:176.10.36.210 ip4:178.19.58.133 include:spf.protection.outlook.com -all,48685,IS-OK-20110517,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Þjóðgarðurinn á Þingvöllum,Thingvellir National Park,,,https://www.thingvellir.is/,thingvellir.is,,,0,,thingvellir-is.mail.protection.outlook.com,ns0.1984.is; ns1.1984.is; ns1.1984hosting.com; ns2.1984.is; ns2.1984hosting.com,20.50.64.22,v=spf1 include:spf.protection.outlook.com include:amazonses.com -all,8075,MSFT,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Neytendastofa,The Consumer Agency,,,http://neytendastofa.is/,neytendastofa.is,,,1,301,neytendastofa-is.mail.protection.outlook.com,ns01.t.is; ns02.t.is,80.248.29.157,v=spf1 include:_spf.umsja.is include:spf.protection.outlook.com -all,29689,OPESK,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
Þjóðskrá,Registers Iceland,,,https://www.skra.is/,skra.is,,,0,,skra-is.mail.protection.outlook.com,ns01.skra.is; ns02.skra.is; ns03.skra.is,128.140.238.8,v=spf1 a ip4:157.157.58.106 ip4:128.140.236.254  ip4:128.140.233.112 ip4:128.140.233.111 ip4:159.183.79.118 include:sendgrid.net  include:servers.mcsv.net include:spf.protection.outlook.com -all,197973,IS-SKRA-20111012,,,,,,,Microsoft 365,Local (.is),Other,,,,No redirect
