name_icelandic,name_english,tag_icelandic,tag_english,url,domain,final_url,final_domain,redirect_count,redirect_codes,mx,spf,mx_asn,mx_org,mx_country,spf_asn,spf_org,spf_country,ns,dns_asn,dns_org,dns_country,a,hosting_asn,hosting_org,hosting_country,final_mx,final_spf,final_mx_asn,final_mx_org,final_mx_country,final_spf_asn,final_spf_org,final_spf_country,final_ns,final_dns_asn,final_dns_org,final_dns_country,final_a,final_hosting_asn,final_hosting_org,final_hosting_country,email_provider,dns_category,hosting_category,final_email_provider,final_dns_category,final_hosting_category,redirect_status,effective_email_provider,email_disclaimer,email_disclaimer_text,effective_dns_category,dns_disclaimer,dns_disclaimer_text,effective_hosting_category,hosting_disclaimer,hosting_disclaimer_text
Stafrænt Ísland,Digital Iceland,Fjármála- og efnahagsráðuneytið,Ministry of Finance and Economic Affairs,https://island.is/adstod,island.is,,,0,,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509,"Amazon.com, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,False,,AWS,False,
Heilsugæsla höfuðborgarsvæðisins,Primary Health Care of the Capital Area,Heilbrigðisráðuneytið,Ministry of Health,https://www.heilsugaeslan.is/,heilsugaeslan.is,,,0,,heilsugaeslan-is.mail.protection.outlook.com,v=spf1 ip4:194.144.162.80 ip4:194.144.162.65 include:spf.protection.outlook.com include:spf.hysing.is  -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.c.is; ns1.c.is; ns2.c.is,12969,VFIS-NET-MNT,IS,82.221.64.168,44515,MNT-ADVANIA,IS,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Local (.is),False,
Borgarholtsskóli,Borgarholtsskóli - Comprehensive Secondary School,Mennta- og barnamálaráðuneytið,Ministry of Education and Children,https://www.bhs.is/,bhs.is,,,0,,bhs-is.mail.protection.outlook.com,v=spf1 mx ip4:176.10.34.50 ip4:176.10.34.51 ip4:176.10.35.184 include:spf.protection.outlook.com include:inna.is ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.okhysing.is; ns2.okhysing.is,48685,MNT-OK,IS,76.76.21.21,16509,"Vercel, Inc",US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Other US,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Other US,False,
Múlaþing,Múlaþing,Sveitarfélög,Municipalities,https://www.mulathing.is/,mulathing.is,,,0,,mulathing-is.mail.protection.outlook.com,v=spf1 ip4:217.28.176.90 ip4:217.171.217.12 ip4:137.135.249.44 include:_spf.email.stefna.is include:spf-eu.exlibrisgroup.com include:spf.protection.outlook.com include:spf.hysing.is include:_spf.wise.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.thekking.is; ns2.thekking.is,12969,VFIS-NET-MNT,IS,52.49.138.181,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
Persónuvernd,Data Protection Authority,Dómsmálaráðuneytið,Ministry of Justice,https://www.personuvernd.is/,personuvernd.is,https://island.is:443/s/personuvernd,island.is,3,301; 308; 307,ns2.okhysing.is,v=spf1 mx ip4:176.57.227.254 a:smtp.hugsmidjan.is -all,48685.0,MNT-OK,IS,48685.0,MNT-OK,IS,ns1.okhysing.is; ns2.okhysing.is,48685,MNT-OK,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Local (.is),Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Local (.is),True,Local (.is) detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Skagafjörður,Sveitarfélagið Skagafjörður,Sveitarfélög,Municipalities,https://www.skagafjordur.is/,skagafjordur.is,,,0,,skagafjordur-is.mail.protection.outlook.com,v=spf1 mx ip4:40.112.93.190 ip4:194.105.232.0/24 ip4:79.171.96.117 ip4:157.157.101.81 ip4:137.135.249.44 include:smtp.wise.is include:_spf.email.stefna.is include:spf.hysing.is include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,dell.netvistun.is; dell2.netvistun.is,60690,NHNET-MNT,IS,52.49.138.181,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
Héraðsdómstólar,District Court of Iceland,Dómsmálaráðuneytið,Ministry of Justice,https://www.heradsdomstolar.is/,heradsdomstolar.is,,,0,,mx01.skra.is,v=spf1 include:_spf.vist.is ip4:217.171.209.5 ip4:217.171.209.24 ip4:217.171.208.174 ip4:217.171.209.7 include:smtp.thekking.is mx ~all,197973.0,JS50437-MNT,IS,12969.0,Wise lausnir ehf.,IS,ns0.vist.is; ns1.vist.is; ns2.vist.is,43892,BASIS-MNT,IS,82.221.64.168,44515,MNT-ADVANIA,IS,,,,,,,,,,,,,,,,,Local (.is),Local (.is),Local (.is),,,,No redirect,Local (.is),True,Local (.is) detected in both MX and SPF.,Local (.is),False,,Local (.is),False,
Hæstiréttur Íslands,Supreme Court of Iceland,Dómsmálaráðuneytið,Ministry of Justice,https://www.haestirettur.is/,haestirettur.is,,,0,,haestirettur-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:_spf.vist.is -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.vist.is; ns1.vist.is; ns2.vist.is,43892,BASIS-MNT,IS,82.221.64.168,44515,MNT-ADVANIA,IS,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Local (.is),False,
Landsréttur,Court of Appeal,Dómsmálaráðuneytið,Ministry of Justice,https://landsrettur.is/,landsrettur.is,,,0,,landsrettur-is.mail.protection.outlook.com,v=spf1 include:_spf.vist.is include:_spf.gopro.net include:spf.protection.outlook.com include:smtp.thekking.is ip4:217.171.208.174 mx ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns0.vist.is; ns1.vist.is; ns2.vist.is,43892,BASIS-MNT,IS,82.221.64.168,44515,MNT-ADVANIA,IS,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Local (.is),,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Local (.is),False,
Verkmenntaskólinn á Akureyri,Akureyri Comprehensive College,Mennta- og barnamálaráðuneytið,Ministry of Education and Children,https://www.vma.is/,vma.is,,,0,,vma-is.mail.protection.outlook.com,v=spf1 include:_spf.google.com ip4:82.148.66.136 ip4:82.148.66.181 include:spf.inna.is include:_spf.samvirkni.is include:_spf.email.stefna.is include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,a.hysing.is; b.hysing.is; c.hysing.is,44515,MNT-ADVANIA,IS,52.49.138.181,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
Miðstöð menntunar og skólaþjónustu,Directorate of Education and School Services,Mennta- og barnamálaráðuneytið,Ministry of Education and Children,https://island.is/s/midstod-menntunar-og-skolathjonustu,island.is,,,0,,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509,"Amazon.com, Inc.",US,,,,,,,,,,,,,,,,,Microsoft 365,AWS,AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,False,,AWS,False,
Úrvinnslusjóður,Icelandic Recycling Fund,"Umhverfis-, orku- og loftslagsráðuneytið","Ministry of the Environment, Energy and Climate",https://www.urvinnslusjodur.is/,urvinnslusjodur.is,,,0,,urvinnslusjodur-is.mail.protection.outlook.com,v=spf1 ip4:82.221.0.0/16 ip4:212.30.230.100/32 ip4:212.30.230.101/32 ip4:193.4.129.73 ip4:213.213.132.1 ip4:193.4.129.10 ip4:212.30.229.12 ip4:212.30.229.38 ip4:213.213.132.2 include:spf.protection.outlook.com -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns1.thekking.is; ns2.thekking.is; ns4.thekking.is,12969,VFIS-NET-MNT,IS,216.150.1.1,16509,"Vercel, Inc",US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),Other US,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,Other US,False,
Húnaþing vestra,Húnaþing vestra,Sveitarfélög,Municipalities,https://www.hunathing.is/,hunathing.is,,,0,,hunathing-is.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com include:_spf.email.stefna.is ip4:137.135.249.44 -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,a.hysing.is; b.hysing.is; c.hysing.is,44515,MNT-ADVANIA,IS,52.19.46.82,16509,Amazon Data Services Ireland Limited,US,,,,,,,,,,,,,,,,,Microsoft 365,Local (.is),AWS,,,,No redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,Local (.is),False,,AWS,False,
Héraðssaksóknari,District Prosecutor,Dómsmálaráðuneytið,Ministry of Justice,https://www.hersak.is/,hersak.is,https://island.is:443/s/heradssaksoknari,island.is,3,301; 308; 307,mx1.tmd.is; mx2.tmd.is,v=spf1 mx include:spf.protection.outlook.com -all,6677.0,MILAHF-MNT,IS,8075.0,Microsoft Corporation,US,ns1.simnet.is; ns2.simnet.is; ns3.simnet.is,6677,MILAHF-MNT,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,SPF includes Microsoft 365 for sending. MX points elsewhere.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
Barna- og fjölskyldustofa,The National Agency for Children and Families,Mennta- og barnamálaráðuneytið,Ministry of Education and Children,http://www.bofs.is/,bofs.is,https://island.is:443/s/bofs,island.is,3,301; 308; 307,bofs-is.mail.protection.outlook.com,v=spf1 mx a:smtp.hugsmidjan.is include:spf.hysing.is ip4:82.221.62.19 include:smtp.thekking.is ip4:217.171.209.2 ip4:213.176.128.0/24 ip4:193.4.194.0/24 a:smtp.c.is include:spf.protection.outlook.com include:_spf.gopro.net -all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,a.hysing.is; b.hysing.is; c.hysing.is,44515,MNT-ADVANIA,IS,34.251.144.192; 54.77.239.177; 63.32.127.239,16509,Amazon Data Services Ireland Limited,US,island-is.mail.protection.outlook.com,v=spf1 ip4:128.140.233.10/32 include:spf.hysing.is include:spf.protection.outlook.com include:amazonses.com include:servers.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com ~all,8075.0,Microsoft Corporation,US,8075.0,Microsoft Corporation,US,ns-1125.awsdns-12.org; ns-2038.awsdns-62.co.uk; ns-318.awsdns-39.com; ns-640.awsdns-16.net,16509.0,Amazon Data Services Northern Virginia,US,54.230.114.110; 54.230.114.125; 54.230.114.40; 54.230.114.93,16509.0,"Amazon.com, Inc.",US,Microsoft 365,Local (.is),AWS,Microsoft 365,AWS,AWS,Internal .is redirect,Microsoft 365,True,Microsoft 365 detected in both MX and SPF.,AWS,True,"Original domain used Local (.is), but redirect target uses AWS.",AWS,True,AWS is used on both domains.
